48728,40702,43371,45874,51613,42244,62541,84745
6.74,7.29,5.66,6.19,7.4,6.09,7.61,6.06
7867940,6321610,4927630,1723920,2574190,522410,247517,412025
5,6.1,6.2,6.6,6.1,6.1,4,4.1
9.82,27.78,2.84,1.75,1.02,7.69,0.18,175.4
53864.1,36738.1,57655.00001,11970,79333.4,3347.59,3879.630001,946.9299998
3875000,3206000,2417000,824999.9999,1320000,138000,136240,215704
21147565.5,15802009.5,13974931,8557602.5,4340109.5,1523488,1507278,1113472
