"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",48547,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",43949,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",48655,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",45925,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",51420,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",46914,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",52288,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",46310,,
"2","Large regions (TL2)","AU1","New South Wales","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",51398,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",30921,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",34966,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",32561,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2001","2001","AUD","Australian Dollar","0","Units","2015","2015",35707,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",33829,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2002","2002","AUD","Australian Dollar","0","Units","2015","2015",37127,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",34295,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2003","2003","AUD","Australian Dollar","0","Units","2015","2015",38136,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",35244,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2004","2004","AUD","Australian Dollar","0","Units","2015","2015",39484,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",35995,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2005","2005","AUD","Australian Dollar","0","Units","2015","2015",40805,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",36209,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2006","2006","AUD","Australian Dollar","0","Units","2015","2015",41394,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",37191,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2007","2007","AUD","Australian Dollar","0","Units","2015","2015",42507,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",38885,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2008","2008","AUD","Australian Dollar","0","Units","2015","2015",44950,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",40350,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2009","2009","AUD","Australian Dollar","0","Units","2015","2015",44240,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",40157,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2010","2010","AUD","Australian Dollar","0","Units","2015","2015",44238,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",41303,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2011","2011","AUD","Australian Dollar","0","Units","2015","2015",46445,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",41053,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2012","2012","AUD","Australian Dollar","0","Units","2015","2015",46245,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",40961,,
"2","Large regions (TL2)","AU2","Victoria","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_PRIM","Primary Income of Private Households ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2013","2013","AUD","Australian Dollar","0","Units","2015","2015",45694,,
"2","Large regions (TL2)","AU3","Queensland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","INCOME_DISP","Disposable Household Income ","PC_REAL_PR","      National currency per head, constant prices ","ALL","All regions","2000","2000","AUD","Australian Dollar","0","Units","2015","2015",29034,,
